critical_level,violation_description,violation_date
C,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",10/13/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/15/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/08/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/01/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/08/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/08/2017
C,Food Protection Certificate not held by supervisor of food operations.,06/06/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/27/2019
C,Live roaches present in facility's food and/or non-food areas.,04/03/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/26/2018
C,Food Protection Certificate not held by supervisor of food operations.,06/07/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/05/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/22/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/25/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/10/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/12/2018
C,Hot food item not held at or above 140º F.,11/20/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",04/30/2018
C,Live roaches present in facility's food and/or non-food areas.,07/05/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,12/27/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/29/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/03/2017
